it,alpha_cvar,alpha_pow,ent_cvar,ent_pow,pstd_a_steer,pstd_a_thr,qspread_a,pstd_b_steer,pstd_b_thr,qspread_b,v_cap,k_slip,mu_min,mu_max,r_a,r_b,term,off_a,off_b,crash_a,crash_b,flip_a,flip_b,spun_a,spun_b,obs_a,obs_b
1550200,0.5379,0.5379,-7.3723,-7.4913,0.0130,0.0275,1.5107,0.0117,0.0172,0.8601,10.00,0.200,0.700,0.950,0.0943,0.0933,0.0034,0.00024,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00171
1550400,0.5379,0.5379,-7.3723,-7.4913,0.0155,0.0159,1.6042,0.0129,0.0171,1.0325,10.00,0.200,0.700,0.950,0.1042,0.0800,0.0022,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00146
1550600,0.5379,0.5379,-6.8845,-7.1468,0.0149,0.0210,1.2628,0.0101,0.0270,1.0197,10.00,0.200,0.700,0.950,0.0944,0.0879,0.0039,0.00000,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00146
1550800,0.5379,0.5379,-6.8845,-7.1468,0.0134,0.0128,1.2758,0.0152,0.0112,1.1600,10.00,0.200,0.700,0.950,0.0966,0.0885,0.0029,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00146
1551000,0.5379,0.5379,-6.8845,-7.1468,0.0173,0.0280,1.1970,0.0150,0.0142,1.0118,10.00,0.200,0.700,0.950,0.0952,0.0788,0.0027,0.00024,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00122
1551200,0.5379,0.5379,-6.9487,-7.1266,0.0130,0.0135,1.3499,0.0117,0.0132,1.0922,10.00,0.200,0.700,0.950,0.0818,0.0871,0.0051,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00244
1551400,0.5379,0.5379,-6.9487,-7.1266,0.0110,0.0140,1.1604,0.0098,0.0362,0.9956,10.00,0.200,0.700,0.950,0.0925,0.0886,0.0029,0.00000,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00171
1551600,0.5379,0.5379,-6.9371,-7.1365,0.0127,0.0175,1.3723,0.0099,0.0108,0.9724,10.00,0.200,0.700,0.950,0.0998,0.0799,0.0032,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00171
1551800,0.5379,0.5379,-6.9371,-7.1365,0.0163,0.0045,0.7938,0.0139,0.0028,0.4547,10.00,0.200,0.700,0.950,-0.0294,-0.0206,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1552000,0.5379,0.5379,-6.9371,-7.1365,0.0121,0.0126,1.6588,0.0162,0.0261,1.0609,10.00,0.200,0.700,0.950,0.0799,0.0818,0.0042,0.00024,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00171
