it,alpha_cvar,alpha_pow,ent_cvar,ent_pow,pstd_a_steer,pstd_a_thr,qspread_a,pstd_b_steer,pstd_b_thr,qspread_b,v_cap,k_slip,mu_min,mu_max,r_a,r_b,term,off_a,off_b,crash_a,crash_b,flip_a,flip_b,spun_a,spun_b,obs_a,obs_b
200,0.5379,0.5379,1.4871,1.5296,0.0441,0.0145,0.1251,0.0089,0.0084,0.0652,6.00,0.100,0.850,1.100,-0.2006,-0.1824,0.0601,0.03174,0.02856,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00024
400,0.5379,0.5379,1.4871,1.5296,0.0091,0.0000,0.1520,0.0072,0.0020,0.1404,6.01,0.100,0.850,1.100,-0.1880,-0.1890,0.0593,0.02954,0.02905,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00098
600,0.5279,0.5317,-6.7164,-9.0030,0.0508,0.0000,0.1886,0.0095,0.0000,0.2305,6.01,0.100,0.850,1.100,-0.1710,-0.2043,0.0591,0.02612,0.03247,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00049
800,0.5279,0.5317,-6.7164,-9.0030,0.0274,0.0000,0.1366,0.0136,0.0000,0.2740,6.01,0.100,0.850,1.100,-0.1733,-0.1951,0.0574,0.02686,0.02930,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00122
1000,0.5279,0.5317,-6.7164,-9.0030,0.0227,0.0010,0.1604,0.0069,0.0005,0.2199,6.01,0.100,0.850,1.100,-0.1126,-0.1789,0.0427,0.01685,0.02490,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00098
1200,0.5211,0.5293,-6.9686,-8.2394,0.0601,0.0002,0.1655,0.0256,0.0000,0.1858,6.02,0.100,0.850,1.100,-0.0480,-0.1190,0.0220,0.00610,0.01538,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00000
1400,0.5211,0.5293,-6.9686,-8.2394,0.0946,0.0000,0.1130,0.0477,0.0007,0.1131,6.02,0.100,0.850,1.100,0.0064,0.0058,0.0010,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024
1600,0.5152,0.5274,-5.9579,-6.3067,0.0527,0.0000,0.1306,0.0590,0.0004,0.0999,6.02,0.100,0.850,1.100,0.0073,0.0057,0.0027,0.00000,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00073
1800,0.5152,0.5274,-5.9579,-6.3067,0.0243,0.0000,0.0947,0.0225,0.0006,0.0671,6.02,0.100,0.850,1.100,-0.0109,-0.0126,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2000,0.5152,0.5274,-5.9579,-6.3067,0.0151,0.0000,0.1684,0.0196,0.0000,0.1298,6.03,0.101,0.850,1.100,0.0042,0.0049,0.0051,0.00098,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00146
