it,alpha_cvar,alpha_pow,ent_cvar,ent_pow,pstd_a_steer,pstd_a_thr,qspread_a,pstd_b_steer,pstd_b_thr,qspread_b,v_cap,k_slip,mu_min,mu_max,r_a,r_b,term,off_a,off_b,crash_a,crash_b,flip_a,flip_b,spun_a,spun_b,obs_a,obs_b
1150200,0.5379,0.5379,-7.4053,-7.1492,0.0207,0.0209,1.1018,0.0095,0.0145,0.8216,10.00,0.200,0.550,0.850,0.0701,0.0599,0.0063,0.00049,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00366
1150400,0.5379,0.5379,-7.4053,-7.1492,0.0153,0.0222,0.9473,0.0156,0.0186,0.6212,10.00,0.200,0.550,0.850,0.0798,0.0852,0.0044,0.00000,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00220,0.00171
1150600,0.5379,0.5379,-6.4913,-6.8389,0.0166,0.0303,1.1027,0.0145,0.0257,0.6600,10.00,0.200,0.550,0.850,0.0755,0.0643,0.0051,0.00024,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00269
1150800,0.5379,0.5379,-6.4913,-6.8389,0.0174,0.0144,0.8018,0.0111,0.0120,0.8442,10.00,0.200,0.550,0.850,0.0582,0.0773,0.0061,0.00049,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00342,0.00195
1151000,0.5379,0.5379,-6.4913,-6.8389,0.0162,0.0148,0.9972,0.0119,0.0175,0.7352,10.00,0.200,0.550,0.850,0.0732,0.0751,0.0024,0.00000,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00073
1151200,0.5379,0.5379,-6.5080,-6.9358,0.0136,0.0132,1.1882,0.0125,0.0099,0.7758,10.00,0.200,0.550,0.850,0.0631,0.0765,0.0032,0.00024,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00073
1151400,0.5379,0.5379,-6.5080,-6.9358,0.0194,0.0303,0.7609,0.0130,0.0271,0.7477,10.00,0.200,0.550,0.850,0.0728,0.0813,0.0042,0.00000,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00146
1151600,0.5379,0.5379,-6.6214,-6.8870,0.0106,0.0122,1.1060,0.0111,0.0178,0.8373,10.00,0.200,0.550,0.850,0.0809,0.0841,0.0032,0.00024,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00146
1151800,0.5379,0.5379,-6.6214,-6.8870,0.0200,0.0003,0.5997,0.0110,0.0138,0.3110,10.00,0.200,0.550,0.850,-0.0167,-0.0180,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1152000,0.5379,0.5379,-6.6214,-6.8870,0.0160,0.0163,0.9874,0.0110,0.0119,0.6923,10.00,0.200,0.550,0.850,0.0701,0.0751,0.0037,0.00000,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00146
