t_now_sec,delay_imu_s,delay_vesc_s,delay_lidar_s,delay_gyro_twist_s,stamp_imu_sec,stamp_vesc_sec,stamp_lidar_sec,stamp_gyro_twist_sec
1786615453.474756,0.00033099099999999999,0.024842148000000001,nan,nan,1786615453.473877,1786615453.4493661,nan,nan
1786615454.4945402,0.001184853,0.001311067,nan,nan,1786615454.4930201,1786615454.4928939,nan,nan
1786615455.5152986,0.001298968,0.0072972920000000004,nan,nan,1786615455.5136931,1786615455.5076952,nan,nan
1786615456.5340924,0.001931711,0.0021125800000000002,nan,nan,1786615456.5318165,1786615456.5316355,nan,nan
1786615457.5532641,0.0017713029999999999,0.0021079440000000001,nan,nan,1786615457.5512161,1786615457.5508795,nan,nan
1786615458.5716517,0.00066951700000000001,0.0060072670000000002,nan,nan,1786615458.5705903,1786615458.5652523,nan,nan
1786615459.5719533,0.001870685,0.002099371,nan,nan,1786615459.569813,1786615459.5695844,nan,nan
1786615460.5909791,0.001434757,0.0016325549999999999,nan,nan,1786615460.5890772,1786615460.5888793,nan,nan
1786615461.6103814,0.00117567,0.00140657,nan,nan,1786615461.6085033,1786615461.6082723,nan,nan
1786615462.6296117,0.001200823,0.0015895519999999999,nan,nan,1786615462.6281292,1786615462.6277404,nan,nan
1786615463.6480479,0.00071446400000000005,0.00088156699999999998,nan,nan,1786615463.6470654,1786615463.6468983,nan,nan
1786615464.6679206,0.0010223299999999999,0.0012391349999999999,nan,nan,1786615464.6666741,1786615464.6664574,nan,nan
1786615465.6875362,0.001099355,0.0012995960000000001,nan,nan,1786615465.6861157,1786615465.6859157,nan,nan
1786615466.7071142,0.0011336530000000001,0.001333128,nan,nan,1786615466.705606,1786615466.7054064,nan,nan
1786615467.7262368,0.00099076599999999991,0.001179081,nan,nan,1786615467.7249963,1786615467.724808,nan,nan
1786615468.7459009,0.00098981799999999995,0.001204746,nan,nan,1786615468.7445376,1786615468.7443228,nan,nan
1786615469.7655475,0.001233895,0.0014507120000000001,nan,nan,1786615469.7639227,1786615469.763706,nan,nan
1786615470.7848635,0.001001289,0.0012195470000000001,nan,nan,1786615470.7835772,1786615470.7833588,nan,nan
1786615471.8040979,0.000638213,0.001074127,nan,nan,1786615471.8031762,1786615471.8027403,nan,nan
