ros_time,msg_stamp,selected_mode,selected_wz,vesc_wz,livox_wz,livox_wz_raw,livox_bias_wz,vesc_weight,livox_weight,vesc_valid,livox_valid,fallback_used,vesc_header_stamp,livox_header_stamp,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1786618140.4062672,1786618140.405941,vesc,0.00017412421449626149,0.00017412421449626149,nan,nan,0.01,1,0,1,0,0,1786618140.405941,nan,-0.0012260522666965789,-0.0024168218101388111,0.00017412421449626149,-0.15271370202669221,0.083437614768907764,9.5472569424775884
1786618140.4309015,1786618140.4253991,vesc,-0.0009035568525157311,-0.0009035568525157311,nan,nan,0.01,1,0,1,0,0,1786618140.4253991,nan,-0.0022787488710371622,-0.0024139256224533496,-0.0009035568525157311,-0.10605253540058523,0.097522936611525779,9.6532307140527109
1786618140.4482713,1786618140.4454153,vesc,0.0012450379525107266,0.0012450379525107266,nan,nan,0.01,1,0,1,0,0,1786618140.4454153,nan,-0.0012385462372793334,-0.00028916311832836143,0.0012450379525107266,-0.12521137684657102,0.063993392641776836,9.6529161338371523
1786618140.4655592,1786618140.4651456,vesc,0.00017985066102574486,0.00017985066102574486,nan,nan,0.01,1,0,1,0,0,1786618140.4651456,nan,-0.0012260522666965789,-0.00028630022015652622,0.00017985066102574486,-0.15260134411861426,0.088253381786270069,9.5376908972609726
1786618140.4852934,1786618140.4851158,vesc,0.0023227191170505914,0.0023227191170505914,nan,nan,0.01,1,0,1,0,0,1786618140.4851158,nan,-0.00018584859264144957,-0.00029206034631112335,0.0023227191170505914,-0.097091092308295934,0.054270824764468983,9.7059141293349285
1786618140.5054181,1786618140.5051684,vesc,-0.00088819985372397866,-0.00088819985372397866,nan,nan,0.01,1,0,1,0,0,1786618140.5051684,nan,-0.0012135582961138242,-0.001348698637124484,-0.00088819985372397866,-0.14380842875216704,0.14076309821108168,9.6050005384018959
1786618140.521796,1786618140.5214393,vesc,0.00016449369474328318,0.00016449369474328318,nan,nan,0.01,1,0,1,0,0,1786618140.5214393,nan,-0.0022912428416199163,-0.0013515272054853921,0.00016449369474328318,-0.10560310376827342,0.068885794732562289,9.6148355555500302
1786618140.5454209,1786618140.5452056,vesc,0.00016735691800802484,0.00016735691800802484,nan,nan,0.01,1,0,1,0,0,1786618140.5452056,nan,-0.0022912428416199163,-0.00028626693064290023,0.00016735691800802484,-0.12966401348383361,0.064070795162287197,9.6241209344033223
1786618140.5655522,1786618140.5653236,vesc,0.00019234440404346486,0.00019234440404346486,nan,nan,0.01,1,0,1,0,0,1786618140.5653236,nan,-0.00016086117162459086,-0.00028633454996745305,0.00019234440404346486,-0.087455501767538912,0.10218362449962193,9.7013649953627237
1786618140.5862067,1786618140.5854583,vesc,0.0012450379525107266,0.0012450379525107266,nan,nan,0.01,1,0,1,0,0,1786618140.5854583,nan,-0.0012385462372793334,-0.00028916311832836143,0.0012450379525107266,-0.10695141693775856,0.044626719215553834,9.7297239924902215
