t_now_sec,delay_imu_s,delay_vesc_s,delay_lidar_s,delay_gyro_twist_s,stamp_imu_sec,stamp_vesc_sec,stamp_lidar_sec,stamp_gyro_twist_sec
1786619090.4875274,0.0049769159999999996,0.0061380549999999999,nan,nan,1786619090.4821966,1786619090.4810352,nan,nan
1786619091.5018575,0.00083780599999999997,0.00097588799999999995,nan,nan,1786619091.5007634,1786619091.5006251,nan,nan
1786619092.5217235,0.00080539000000000001,0.00097115299999999999,nan,nan,1786619092.5207033,1786619092.5205376,nan,nan
1786619093.541641,0.00067492400000000003,0.00081956599999999998,nan,nan,1786619093.5406899,1786619093.5405452,nan,nan
1786619094.5419867,0.00088561499999999997,0.0010791220000000001,nan,nan,1786619094.5408106,1786619094.540617,nan,nan
1786619095.562366,0.0012989659999999999,0.0014968889999999999,nan,nan,1786619095.5607479,1786619095.5605497,nan,nan
1786619096.5819163,0.00054484100000000001,0.00066122700000000002,nan,nan,1786619096.5807393,1786619096.5806229,nan,nan
1786619097.5822072,0.0010749620000000001,0.001222196,nan,nan,1786619097.5808513,1786619097.580704,nan,nan
1786619098.6020985,0.00093479999999999995,0.0010971069999999999,nan,nan,1786619098.6008427,1786619098.6006804,nan,nan
1786619099.6220224,0.00091588699999999999,0.001066258,nan,nan,1786619099.6208313,1786619099.620681,nan,nan
1786619100.622088,0.00083415799999999999,0.00106021,nan,nan,1786619100.6209543,1786619100.6207283,nan,nan
1786619101.6420066,0.00089159899999999997,0.001035666,nan,nan,1786619101.6408184,1786619101.6406746,nan,nan
1786619102.6423635,0.001148916,0.0013042139999999999,nan,nan,1786619102.6408918,1786619102.6407366,nan,nan
1786619103.6623328,0.0011058419999999999,0.0013107419999999999,nan,nan,1786619103.6609917,1786619103.6607869,nan,nan
1786619104.6821442,0.00092590399999999996,0.0011431880000000001,nan,nan,1786619104.681015,1786619104.6807981,nan,nan
1786619105.7087123,0.00078334100000000001,0.00094363200000000002,nan,nan,1786619105.7077942,1786619105.707634,nan,nan
1786619106.7236528,0.0022364540000000001,0.0024299289999999999,nan,nan,1786619106.7209749,1786619106.7207813,nan,nan
1786619107.7420764,0.00094686399999999995,0.0010935540000000001,nan,nan,1786619107.7408752,1786619107.7407286,nan,nan
1786619108.7617366,0.00063543499999999995,0.00076506899999999995,nan,nan,1786619108.7608783,1786619108.7607489,nan,nan
1786619109.7622776,0.00096155199999999996,0.0011661639999999999,nan,nan,1786619109.7610588,1786619109.7608542,nan,nan
1786619110.7822485,0.001111187,0.0012461970000000001,nan,nan,1786619110.7809577,1786619110.7808228,nan,nan
1786619111.8021688,0.00089297499999999995,0.0010505779999999999,nan,nan,1786619111.8009217,1786619111.8007641,nan,nan
1786619112.822197,0.00078292499999999996,0.00094977600000000005,nan,nan,1786619112.8211863,1786619112.8210194,nan,nan
1786619113.8418641,0.00054080899999999995,0.00073537199999999998,nan,nan,1786619113.8411343,1786619113.8409398,nan,nan
1786619114.84202,0.00078948500000000003,0.00090603099999999996,nan,nan,1786619114.840971,1786619114.8408546,nan,nan
1786619115.8422275,0.00098305599999999995,0.0011280190000000001,nan,nan,1786619115.8410227,1786619115.8408775,nan,nan
1786619116.8621235,0.00070311600000000005,0.00086523000000000004,nan,nan,1786619116.8611717,1786619116.8610096,nan,nan
1786619117.8627374,0.0013522149999999999,0.0015467460000000001,nan,nan,1786619117.8611798,1786619117.8609853,nan,nan
1786619118.8825078,0.00092468800000000001,0.0011118269999999999,nan,nan,1786619118.8812139,1786619118.8810267,nan,nan
1786619119.9020562,0.00070468400000000002,0.00083719800000000004,nan,nan,1786619119.9010651,1786619119.9009326,nan,nan
1786619120.9220157,0.000666604,0.00081921399999999997,nan,nan,1786619120.9211226,1786619120.92097,nan,nan
1786619121.9419878,0.00065207500000000001,0.00079220500000000004,nan,nan,1786619121.9411085,1786619121.9409685,nan,nan
1786619122.9619899,0.00070397999999999999,0.00085114999999999995,nan,nan,1786619122.9611678,1786619122.9610207,nan,nan
1786619123.9623818,0.00074366099999999995,0.00089287899999999996,nan,nan,1786619123.961282,1786619123.9611328,nan,nan
1786619124.9625418,0.00093252799999999996,0.001091795,nan,nan,1786619124.9612525,1786619124.9610932,nan,nan
1786619125.9825954,0.0012772700000000001,0.0014274800000000001,nan,nan,1786619125.9811804,1786619125.9810305,nan,nan
1786619127.0024037,0.00076407700000000005,0.000976752,nan,nan,1786619127.0013914,1786619127.0011787,nan,nan
1786619128.0222156,0.00075351699999999999,0.00089959999999999997,nan,nan,1786619128.0213037,1786619128.0211577,nan,nan
1786619129.0226777,0.00095134500000000003,0.00112626,nan,nan,1786619129.0213678,1786619129.0211928,nan,nan
1786619130.0427625,0.001126323,0.001298326,nan,nan,1786619130.0413849,1786619130.0412133,nan,nan
1786619131.0628171,0.0012174289999999999,0.0013580070000000001,nan,nan,1786619131.0613296,1786619131.0611892,nan,nan
1786619132.0634694,0.0019797130000000001,0.0021144029999999999,nan,nan,1786619132.0612879,1786619132.0611532,nan,nan
1786619133.0824106,0.00075946900000000003,0.00092036699999999995,nan,nan,1786619133.0814164,1786619133.0812554,nan,nan
1786619134.0834017,0.001182004,0.001353751,nan,nan,1786619134.0815117,1786619134.0813398,nan,nan
1786619135.0840244,0.002233573,0.0024371290000000001,nan,nan,1786619135.0815127,1786619135.0813091,nan,nan
1786619136.1025829,0.00088465500000000003,0.00098043299999999996,nan,nan,1786619136.1013298,1786619136.1012342,nan,nan
1786619137.1223161,0.00062925899999999996,0.00076522899999999997,nan,nan,1786619137.1213474,1786619137.1212113,nan,nan
1786619138.1225958,0.00077780500000000001,0.00099147300000000009,nan,nan,1786619138.1216462,1786619138.1214323,nan,nan
1786619139.1425564,0.00078161300000000001,0.00093406399999999997,nan,nan,1786619139.1414332,1786619139.1412807,nan,nan
1786619140.1430776,0.0011982290000000001,0.001423353,nan,nan,1786619140.1416266,1786619140.1414015,nan,nan
1786619141.163048,0.0013065819999999999,0.001514458,nan,nan,1786619141.161504,1786619141.1612961,nan,nan
1786619142.1828144,0.00098247999999999999,0.0011684989999999999,nan,nan,1786619142.1816106,1786619142.1814244,nan,nan
1786619143.2026002,0.00077742100000000004,0.00096456099999999996,nan,nan,1786619143.201551,1786619143.2013638,nan,nan
1786619144.2027371,0.000949105,0.0011076669999999999,nan,nan,1786619144.201535,1786619144.2013764,nan,nan
1786619145.2749774,0.0010765309999999999,0.001212917,nan,0.18987110099999999,1786619145.0815229,1786619145.0813868,nan,1786619145.0815229
1786619146.2790937,0.00061111499999999997,0.00070276400000000004,0.18832748999999999,0.013723562,1786619146.2616305,1786619146.2615387,1786619145.0891283,1786619146.2616305
1786619147.2793293,0.00059383400000000001,0.000698444,0.18832748999999999,0.012635031,1786619147.2618284,1786619147.2617238,1786619145.0891283,1786619147.2618284
1786619148.2867637,0.0010004969999999999,0.001144403,0.18832748999999999,0.012893948000000001,1786619148.2618599,1786619148.2617159,1786619145.0891283,1786619148.2618599
1786619149.2974234,0.0015209539999999999,0.0016986849999999999,0.18832748999999999,0.01232661,1786619149.2819028,1786619149.2817252,1786619145.0891283,1786619149.2819028
1786619150.306468,0.00090286299999999995,0.0010234409999999999,0.18832748999999999,0.0075109119999999998,1786619150.2769451,1786619150.2768245,1786619145.0891283,1786619150.2769451
1786619151.3068197,0.0019466259999999999,0.002088164,0.18832748999999999,0.013952334,1786619151.2840955,1786619151.2839539,1786619145.0891283,1786619151.2840955
1786619152.3073716,0.00042045500000000003,0.0056249589999999997,0.18832748999999999,0.013471845,1786619152.2819121,1786619152.2767076,1786619145.0891283,1786619152.2819121
1786619153.3075528,0.00049888899999999997,0.00090740799999999996,0.18832748999999999,0.014186288999999999,1786619153.3019609,1786619153.3015523,1786619145.0891283,1786619153.2816734
1786619154.3171196,0.00097080099999999998,0.0011173629999999999,0.18832748999999999,0.012863579,1786619154.3016934,1786619154.3015471,1786619145.0891283,1786619154.3016934
1786619155.3192744,0.00094190400000000003,0.0011156670000000001,0.18832748999999999,0.01240018,1786619155.3022356,1786619155.3020618,1786619145.0891283,1786619155.3022356
1786619156.3262701,0.00074471699999999999,0.00085687899999999995,0.18832748999999999,0.012160878999999999,1786619156.3019888,1786619156.3018765,1786619145.0891283,1786619156.3019888
1786619157.3371878,0.00043735200000000001,0.0056308479999999999,0.18832748999999999,0.012273521000000001,1786619157.3219485,1786619157.3167551,1786619145.0891283,1786619157.3219485
1786619158.3376923,0.00077162900000000002,0.00086001399999999998,0.18832748999999999,0.012426804,1786619158.32179,1786619158.3217013,1786619145.0891283,1786619158.32179
1786619159.345999,0.0010993789999999999,0.001339095,0.121544886,0.012156303,1786619159.3221097,1786619159.3218701,1786619159.0740802,1786619159.3221097
