t_now_sec,delay_imu_s,delay_vesc_s,delay_lidar_s,delay_gyro_twist_s,stamp_imu_sec,stamp_vesc_sec,stamp_lidar_sec,stamp_gyro_twist_sec
1786615545.0134099,0.00042496400000000001,0.022048403000000001,nan,nan,1786615545.0093455,1786615544.9877219,nan,nan
1786615546.017453,0.0043742260000000002,0.0047955760000000002,nan,nan,1786615546.0125523,1786615546.0121307,nan,nan
1786615547.033211,0.0010150140000000001,0.0011591430000000001,nan,nan,1786615547.0320108,1786615547.0318666,nan,nan
1786615548.033555,0.001332803,0.0015356079999999999,nan,nan,1786615548.0319488,1786615548.0317461,nan,nan
1786615549.0533662,0.00097648099999999996,0.0011425680000000001,nan,nan,1786615549.051832,1786615549.051666,nan,nan
1786615550.0550339,0.001086505,0.0012975549999999999,nan,nan,1786615550.0536659,1786615550.0534549,nan,nan
1786615551.0574529,0.001647286,0.0018711139999999999,nan,nan,1786615551.0554521,1786615551.0552282,nan,nan
1786615552.058497,0.0010340200000000001,0.0012510100000000001,nan,nan,1786615552.0570836,1786615552.0568669,nan,nan
1786615553.0602129,0.00087900599999999999,0.0062331399999999999,nan,nan,1786615553.0588629,1786615553.0535085,nan,nan
1786615554.0624928,0.0021102069999999998,0.0022998710000000002,nan,nan,1786615554.0601132,1786615554.0599234,nan,nan
1786615555.0625434,0.00082088599999999995,0.00097121900000000005,nan,nan,1786615555.0615482,1786615555.061398,nan,nan
1786615556.0648491,0.001424622,0.0016445190000000001,nan,nan,1786615556.0632043,1786615556.0629845,nan,nan
1786615557.0659571,0.00078822500000000004,0.00096376299999999997,nan,nan,1786615557.064532,1786615557.0643563,nan,nan
1786615558.0674129,0.00099922599999999998,0.0011827680000000001,nan,nan,1786615558.0660799,1786615558.0658965,nan,nan
1786615559.0703056,0.0012970119999999999,0.0024410899999999999,nan,nan,1786615559.0683548,1786615559.0672107,nan,nan
1786615560.0899906,0.0011722589999999999,0.0013432909999999999,nan,nan,1786615560.0885918,1786615560.0884209,nan,nan
1786615561.0914237,0.001259809,0.0015022810000000001,nan,nan,1786615561.089987,1786615561.0897446,nan,nan
1786615562.0929549,0.0014102450000000001,0.0016123400000000001,nan,nan,1786615562.0912633,1786615562.0910614,nan,nan
1786615563.0937319,0.00090891500000000005,0.001083547,nan,nan,1786615563.0924232,1786615563.0922487,nan,nan
1786615564.0944915,0.00081030900000000005,0.00097599799999999995,nan,nan,1786615564.0933888,1786615564.0932229,nan,nan
1786615565.0959792,0.001015623,0.001229134,nan,nan,1786615565.0946324,1786615565.094419,nan,nan
1786615566.0973692,0.001216024,0.001435038,nan,nan,1786615566.0958643,1786615566.0956454,nan,nan
1786615567.0981727,0.00102552,0.0012658280000000001,nan,nan,1786615567.096859,1786615567.0966187,nan,nan
1786615568.099617,0.001289332,0.0015407789999999999,nan,nan,1786615568.0978544,1786615568.0976031,nan,nan
1786615569.1013699,0.001317,0.001486954,nan,nan,1786615569.0990121,1786615569.0988421,nan,nan
1786615570.1211078,0.0010725450000000001,0.001244223,nan,nan,1786615570.1198363,1786615570.1196647,nan,nan
1786615571.1219592,0.001076582,0.0012334589999999999,nan,nan,1786615571.1206415,1786615571.1204846,nan,nan
1786615572.1230786,0.0011239220000000001,0.001337356,nan,nan,1786615572.1217499,1786615572.1215363,nan,nan
1786615573.1234949,0.00072787800000000005,0.00090684499999999998,nan,nan,1786615573.1225049,1786615573.1223259,nan,nan
1786615574.1248834,0.00075793300000000002,0.0010156799999999999,nan,nan,1786615574.1236358,1786615574.123378,nan,nan
1786615575.1257112,0.00078452600000000002,0.00097462899999999997,nan,nan,1786615575.1242378,1786615575.1240478,nan,nan
1786615576.1290085,0.00071764099999999998,0.00083007999999999997,0.18044400099999999,0.0063050800000000002,1786615576.1049848,1786615576.1048722,1786615575.197911,1786615576.1049848
1786615577.1360855,0.000368179,0.005794184,0.18044400099999999,0.0062585000000000002,1786615577.1261637,1786615577.1207376,1786615575.197911,1786615577.1261637
1786615578.142956,0.00090039600000000003,0.001035598,0.18044400099999999,0.0051097190000000004,1786615578.126452,1786615578.1263168,1786615575.197911,1786615578.126452
1786615579.1430659,0.00041863000000000002,0.0056439669999999997,0.18044400099999999,0.0034797909999999999,1786615579.1279278,1786615579.1227026,1786615575.197911,1786615579.1279278
1786615580.149287,0.0010582899999999999,0.001217823,0.18044400099999999,0.0032516250000000002,1786615580.147953,1786615580.1477938,1786615575.197911,1786615580.1279094
1786615581.1533051,0.0013700909999999999,0.00151662,0.18044400099999999,0.012405361,1786615581.1299825,1786615581.1298361,1786615575.197911,1786615581.1299825
1786615582.1568034,0.0017170379999999999,0.0018992989999999999,0.18044400099999999,0.013765157,1786615582.1293745,1786615582.1291921,1786615575.197911,1786615582.1293745
1786615583.1665752,0.001477913,0.0016728820000000001,0.18044400099999999,0.011591765,1786615583.1502542,1786615583.1500592,1786615575.197911,1786615583.1502542
1786615584.167392,0.0030233320000000001,0.003160567,0.18044400099999999,0.011526679,1786615584.1510968,1786615584.1509597,1786615575.197911,1786615584.1510968
1786615585.1752596,0.002188452,0.0024996749999999998,0.18044400099999999,0.015827042999999999,1786615585.1467333,1786615585.1464219,1786615575.197911,1786615585.1467333
1786615586.1850171,0.0012214630000000001,0.001366698,0.18044400099999999,0.010199372999999999,1786615586.1714687,1786615586.1713233,1786615575.197911,1786615586.1714687
1786615587.1863792,0.0016089209999999999,0.001762958,0.18044400099999999,0.010360123000000001,1786615587.1720722,1786615587.1719182,1786615575.197911,1786615587.1720722
1786615588.193047,0.00090742999999999998,0.001010782,0.18044400099999999,0.0096431209999999993,1786615588.1725028,1786615588.1723995,1786615575.197911,1786615588.1725028
1786615589.1943483,0.00070836900000000003,0.00082657399999999995,0.18044400099999999,0.0089114209999999992,1786615589.1934752,1786615589.1933572,1786615575.197911,1786615589.1732328
