ros_time,msg_stamp,selected_mode,selected_wz,vesc_wz,livox_wz,livox_wz_raw,livox_bias_wz,vesc_weight,livox_weight,vesc_valid,livox_valid,fallback_used,vesc_header_stamp,livox_header_stamp,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1786618069.4650729,1786618069.4499156,vesc,0.00020770137032592652,0.00020770137032592652,nan,nan,0.01,1,0,1,0,0,1786618069.4499156,nan,0.00090432992344739716,0.00077889243536141293,0.00020770137032592652,-0.062439540697041274,0.088057426963334962,9.6106033406797451
1786618069.4753935,1786618069.4749849,vesc,0.00021733189007890484,0.00021733189007890484,nan,nan,0.01,1,0,1,0,0,1786618069.4749849,nan,0.0019695210185193849,-0.00028640112899470504,0.00021733189007890484,-0.073254907545166503,0.054244366112509823,9.7157737047898536
1786618069.5016992,1786618069.501014,vesc,-0.0019255363383809071,-0.0019255363383809071,nan,nan,0.01,1,0,1,0,0,1786618069.501014,nan,0.00092931734446425576,-0.00028064204313740869,-0.0019255363383809071,-0.099802172234075393,0.11222756998097516,9.5287937735436117
1786618069.5072622,1786618069.5063946,vesc,-0.0019562503359644118,-0.0019562503359644118,nan,nan,0.01,1,0,1,0,0,1786618069.5063946,nan,-0.0012010648456797202,-0.0024110960137951405,-0.0019562503359644118,-0.11005574040553601,0.054593152541098533,9.5860029339344237
1786618069.5293853,1786618069.5279541,vesc,0.00020197492379644315,0.00020197492379644315,nan,nan,0.01,1,0,1,0,0,1786618069.5279541,nan,0.00090432992344739716,-0.0013516281143235711,0.00020197492379644315,-0.057986913196053536,0.073609943185751092,9.6393587790454376
1786618069.5553725,1786618069.5542078,vesc,-0.00084889625136483023,-0.00084889625136483023,nan,nan,0.01,1,0,1,0,0,1786618069.5542078,nan,0.00091682389403015165,0.0039775371983580251,-0.00084889625136483023,-0.062832793375314111,0.097547330465369342,9.6441570044150922
1786618069.5762954,1786618069.5758533,vesc,0.0012671622152814249,0.0012671622152814249,nan,nan,0.01,1,0,1,0,0,1786618069.5758533,nan,0.00089183595286464255,-0.0013544910124954062,0.0012671622152814249,-0.090559843507866056,0.14089016552166456,9.5577211200568399
1786618069.5911872,1786618069.5899816,vesc,-0.0029974907963169631,-0.0029974907963169631,nan,nan,0.01,1,0,1,0,0,1786618069.5899816,nan,-0.00012337978002497762,0.0018527757345303372,-0.0029974907963169631,-0.039502219198535471,0.035134714370304465,9.6969573640153612
1786618069.6108375,1786618069.6100659,vesc,0.0012546685047729958,0.0012546685047729958,nan,nan,0.01,1,0,1,0,0,1786618069.6100659,nan,-0.00017335514220734541,-0.0013544577229817802,0.0012546685047729958,-0.090896898959550221,0.097702738500530018,9.5863432418999537
1786618069.631618,1786618069.6298947,vesc,0.00020483814706118484,0.00020483814706118484,nan,nan,0.01,1,0,1,0,0,1786618069.6298947,nan,0.00090432992344739716,-0.00028636783948107899,0.00020483814706118484,-0.091571064680567638,0.068808099851256799,9.6437430215291897
1786618069.6503806,1786618069.6500258,vesc,-0.00088819985372397866,-0.00088819985372397866,nan,nan,0.01,1,0,1,0,0,1786618069.6500258,nan,-0.0012135582961138242,-0.001348698637124484,-0.00088819985372397866,-0.063226055189861796,0.092667189255429605,9.6776720765254822
1786618069.6706617,1786618069.6701703,vesc,0.0012450379525107266,0.0012450379525107266,nan,nan,0.01,1,0,1,0,0,1786618069.6701703,nan,-0.0012385462372793334,-0.00028916311832836143,0.0012450379525107266,-0.113890399412095,0.078762254023406086,9.5045862997069435
