it,alpha_cvar,alpha_pow,ent_cvar,ent_pow,pstd_a_steer,pstd_a_thr,qspread_a,pstd_b_steer,pstd_b_thr,qspread_b,v_cap,k_slip,mu_min,mu_max,r_a,r_b,term,off_a,off_b,crash_a,crash_b,flip_a,flip_b,spun_a,spun_b,obs_a,obs_b
200,0.5379,0.5379,1.4870,1.5293,0.1576,0.0748,0.1392,0.0254,0.0173,0.0290,6.00,0.100,0.550,0.850,-0.1780,-0.2139,0.0605,0.02710,0.03369,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00098
400,0.5379,0.5379,1.4870,1.5293,0.0168,0.0021,0.2894,0.0167,0.0009,0.0977,6.01,0.100,0.550,0.850,-0.1919,-0.1792,0.0581,0.03052,0.02734,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00073
600,0.5280,0.5299,-6.7640,-7.9321,0.0193,0.0012,0.2558,0.0183,0.0001,0.2118,6.01,0.100,0.550,0.850,-0.1761,-0.2085,0.0605,0.02686,0.03296,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00073
800,0.5280,0.5299,-6.7640,-7.9321,0.0116,0.0000,0.2022,0.0068,0.0012,0.2059,6.01,0.100,0.550,0.850,-0.1775,-0.2026,0.0601,0.02832,0.03125,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098
1000,0.5280,0.5299,-6.7640,-7.9321,0.0100,0.0012,0.2661,0.0076,0.0021,0.1468,6.01,0.100,0.550,0.850,-0.1774,-0.2010,0.0569,0.02637,0.03027,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00073
1200,0.5224,0.5258,-7.7938,-7.9236,0.0149,0.0019,0.2225,0.0211,0.0136,0.1804,6.02,0.100,0.550,0.850,-0.1440,-0.1596,0.0454,0.02051,0.02344,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00049
1400,0.5224,0.5258,-7.7938,-7.9236,0.0263,0.0034,0.1683,0.0317,0.0633,0.1253,6.02,0.100,0.550,0.850,-0.1348,-0.0792,0.0317,0.02026,0.01074,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00000
1600,0.5185,0.5214,-6.8455,-5.2626,0.0647,0.0003,0.1157,0.0544,0.0369,0.1067,6.02,0.100,0.550,0.850,-0.0143,-0.0021,0.0071,0.00366,0.00244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00049
1800,0.5185,0.5214,-6.8455,-5.2626,0.0610,0.0000,0.0670,0.0482,0.0081,0.0983,6.02,0.100,0.550,0.850,-0.0178,-0.0142,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2000,0.5185,0.5214,-6.8455,-5.2626,0.0334,0.0000,0.1556,0.0409,0.0051,0.1370,6.03,0.101,0.550,0.850,0.0083,0.0103,0.0032,0.00073,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00073
2200,0.5158,0.5181,-6.8384,-6.6002,0.0142,0.0000,0.1323,0.0177,0.0009,0.1255,6.03,0.101,0.550,0.850,0.0099,0.0101,0.0032,0.00073,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00098
2400,0.5158,0.5181,-6.8384,-6.6002,0.0170,0.0000,0.1807,0.0229,0.0045,0.1327,6.03,0.101,0.550,0.850,-0.0018,0.0049,0.0054,0.00122,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00195
2600,0.5147,0.5161,-7.4340,-7.2258,0.0171,0.0000,0.1482,0.0215,0.0026,0.1560,6.03,0.101,0.550,0.850,-0.0023,0.0112,0.0044,0.00098,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00220,0.00073
2800,0.5147,0.5161,-7.4340,-7.2258,0.0159,0.0000,0.1551,0.0168,0.0013,0.1880,6.04,0.101,0.550,0.850,0.0056,0.0136,0.0027,0.00073,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00024
3000,0.5147,0.5161,-7.4340,-7.2258,0.0191,0.0000,0.2023,0.0176,0.0000,0.1947,6.04,0.101,0.550,0.850,0.0054,0.0090,0.0037,0.00073,0.00122,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00098
3200,0.5148,0.5154,-7.4374,-7.3699,0.0177,0.0000,0.1933,0.0212,0.0000,0.1910,6.04,0.101,0.550,0.850,0.0029,0.0066,0.0046,0.00195,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00220
3400,0.5148,0.5154,-7.4374,-7.3699,0.0181,0.0000,0.2467,0.0186,0.0008,0.2120,6.05,0.101,0.550,0.850,0.0091,0.0060,0.0034,0.00073,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00171
3600,0.5160,0.5158,-7.5748,-7.3704,0.0160,0.0000,0.1964,0.0166,0.0012,0.1620,6.05,0.101,0.550,0.850,0.0082,0.0093,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
3800,0.5160,0.5158,-7.5748,-7.3704,0.0166,0.0000,0.2874,0.0133,0.0009,0.2224,6.05,0.101,0.550,0.850,0.0138,0.0126,0.0017,0.00024,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00073
4000,0.5160,0.5158,-7.5748,-7.3704,0.0195,0.0000,0.3473,0.0130,0.0004,0.2150,6.05,0.101,0.550,0.850,0.0085,0.0106,0.0032,0.00024,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00049
4200,0.5183,0.5171,-7.4921,-7.4336,0.0221,0.0000,0.3365,0.0138,0.0024,0.2433,6.06,0.101,0.550,0.850,0.0086,0.0100,0.0034,0.00049,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00098
4400,0.5183,0.5171,-7.4921,-7.4336,0.0200,0.0000,0.3781,0.0154,0.0035,0.2195,6.06,0.101,0.550,0.850,0.0090,0.0052,0.0042,0.00073,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00171
4600,0.5213,0.5194,-7.4800,-7.5391,0.0144,0.0000,0.3378,0.0125,0.0015,0.2363,6.06,0.101,0.550,0.850,0.0135,0.0121,0.0022,0.00049,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00073
4800,0.5213,0.5194,-7.4800,-7.5391,0.0155,0.0000,0.3216,0.0124,0.0038,0.2024,6.06,0.101,0.550,0.850,0.0082,0.0078,0.0042,0.00073,0.00122,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00122
5000,0.5213,0.5194,-7.4800,-7.5391,0.0167,0.0000,0.3899,0.0130,0.0024,0.2160,6.07,0.101,0.550,0.850,0.0125,0.0125,0.0022,0.00000,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00073
