it,alpha_cvar,alpha_pow,ent_cvar,ent_pow,pstd_a_steer,pstd_a_thr,qspread_a,pstd_b_steer,pstd_b_thr,qspread_b,v_cap,k_slip,mu_min,mu_max,r_a,r_b,term,off_a,off_b,crash_a,crash_b,flip_a,flip_b,spun_a,spun_b,obs_a,obs_b
1600000,0.5379,0.5379,-8.3107,-7.2188,0.0093,0.0000,0.2195,0.0138,0.0540,0.6940,10.00,0.200,0.850,1.100,0.0110,0.0849,0.0059,0.00195,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00220
1600200,0.5379,0.5379,-8.1937,-7.0727,0.0096,0.0000,0.1777,0.0116,0.0161,0.7334,10.00,0.200,0.850,1.100,0.0213,0.0836,0.0029,0.00049,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00122
1600400,0.5379,0.5379,-8.1937,-7.0727,0.0076,0.0000,0.2590,0.0111,0.0280,0.6549,10.00,0.200,0.850,1.100,0.0049,0.0738,0.0051,0.00171,0.00049,0.00000,0.00049,0.00000,0.00000,0.00000,0.00000,0.00122,0.00146
1600600,0.5379,0.5379,-8.2789,-7.3031,0.0143,0.0000,0.2483,0.0100,0.0105,0.6147,10.00,0.200,0.850,1.100,0.0051,0.0779,0.0059,0.00293,0.00024,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00098,0.00146
1600800,0.5379,0.5379,-8.2789,-7.3031,0.0098,0.0000,0.2772,0.0149,0.0159,0.7209,10.00,0.200,0.850,1.100,0.0100,0.0831,0.0044,0.00098,0.00098,0.00000,0.00024,0.00000,0.00000,0.00024,0.00000,0.00146,0.00049
1601000,0.5379,0.5379,-8.2789,-7.3031,0.0083,0.0000,0.2524,0.0083,0.0312,0.7878,10.00,0.200,0.850,1.100,0.0121,0.0935,0.0046,0.00220,0.00049,0.00000,0.00049,0.00000,0.00000,0.00000,0.00000,0.00073,0.00073
1601200,0.5379,0.5379,-8.2188,-7.0241,0.0071,0.0000,0.2645,0.0149,0.0270,0.6228,10.00,0.200,0.850,1.100,0.0211,0.0851,0.0034,0.00098,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00098
1601400,0.5379,0.5379,-8.2188,-7.0241,0.0099,0.0000,0.2809,0.0079,0.0090,0.7043,10.00,0.200,0.850,1.100,0.0073,0.0919,0.0044,0.00122,0.00024,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00220,0.00049
1601600,0.5379,0.5379,-8.3016,-7.2889,0.0077,0.0000,0.2544,0.0109,0.0080,0.8235,10.00,0.200,0.850,1.100,0.0043,0.0721,0.0063,0.00122,0.00098,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00220,0.00171
1601800,0.5379,0.5379,-8.3016,-7.2889,0.0117,0.0000,0.2449,0.0175,0.0234,0.7177,10.00,0.200,0.850,1.100,0.0171,0.0788,0.0051,0.00195,0.00073,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00122,0.00098
1602000,0.5379,0.5379,-8.3016,-7.2889,0.0101,0.0000,0.1800,0.0170,0.0415,0.7420,10.00,0.200,0.850,1.100,0.0291,0.0765,0.0020,0.00024,0.00049,0.00000,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073
1602200,0.5379,0.5379,-8.2533,-7.0757,0.0086,0.0000,0.2496,0.0199,0.0160,0.6539,10.00,0.200,0.850,1.100,0.0110,0.0903,0.0039,0.00195,0.00000,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00098,0.00073
1602400,0.5379,0.5379,-8.2533,-7.0757,0.0075,0.0000,0.2912,0.0249,0.0332,0.6316,10.00,0.200,0.850,1.100,0.0176,0.0966,0.0037,0.00171,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00000,0.00098,0.00073
1602600,0.5379,0.5379,-8.1902,-7.1432,0.0072,0.0000,0.2545,0.0136,0.0232,0.7022,10.00,0.200,0.850,1.100,0.0301,0.0850,0.0037,0.00122,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00146
1602800,0.5379,0.5379,-8.1902,-7.1432,0.0094,0.0000,0.2070,0.0098,0.0259,0.6845,10.00,0.200,0.850,1.100,0.0240,0.0841,0.0037,0.00146,0.00000,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00073,0.00122
1603000,0.5379,0.5379,-8.1902,-7.1432,0.0090,0.0000,0.2568,0.0121,0.0093,0.7262,10.00,0.200,0.850,1.100,0.0166,0.0852,0.0042,0.00146,0.00049,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00146,0.00073
1603200,0.5379,0.5379,-8.2334,-7.1523,0.0138,0.0000,0.2992,0.0212,0.0151,0.7709,10.00,0.200,0.850,1.100,0.0036,0.0754,0.0061,0.00293,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00171
